config,rows,cols,workload,K,N,V,H,dpe_count,acam_eligible,fmax_mhz,grid_w,grid_h,fpga_area_mm2,latency_ns,energy_pj,throughput_per_mm2,throughput_per_J,e_imc_vmm,e_imc_digital,e_clb_reduction,e_clb_activation,e_sram,clb_count,dsp_count,mem_count,wc_count,run_dir
128x64,128,64,fc_64_64,64,64,1,1,1,True,346.512,10,10,0.2239,85.03,52.54,52525927.19160623,19033117624.66692,19.4868,31.771,0,0,1.287,7,0,4,1,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/128x64/fc_64_64
512x64,512,64,fc_64_64,64,64,1,1,1,True,346.512,10,10,0.2239,85.03,69.36,52525927.19160623,14417531718.56978,35.6975,32.3797,0,0,1.287,7,0,4,1,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/512x64/fc_64_64
512x128,512,128,fc_64_64,64,64,1,1,1,True,346.512,10,10,0.2239,85.03,130.14,52525927.19160623,7684032580.2981415,64.9028,63.9479,0,0,1.287,7,0,4,1,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/512x128/fc_64_64
1024x64,1024,64,fc_64_64,64,64,1,1,1,True,346.512,10,10,0.2239,85.03,91.79,52525927.19160623,10894432944.765224,57.3117,33.1912,0,0,1.287,7,0,4,1,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/1024x64/fc_64_64
128x128,128,128,fc_64_64,64,64,1,1,1,True,346.512,11,11,0.270919,85.03,101.98,43409857.183145635,9805844283.192783,37.3505,63.3392,0,0,1.287,7,0,4,1,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/128x128/fc_64_64
128x256,128,256,fc_64_64,64,64,1,1,1,True,346.512,12,12,0.322416,85.03,202.67,36476338.32750433,4934129372.872157,74.701,126.6784,0,0,1.287,7,0,4,1,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/128x256/fc_64_64
256x128,256,128,fc_64_64,64,64,1,1,1,True,346.512,12,12,0.322416,85.03,111.36,36476338.32750433,8979885057.471264,46.5346,63.5421,0,0,1.287,7,0,4,1,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/256x128/fc_64_64
1024x128,1024,128,fc_64_64,64,64,1,1,1,True,389.801,13,13,0.378391,76.7,149.21,34455919.00436094,6701963675.356879,90.3517,57.5676,0,0,1.287,7,0,4,1,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/1024x128/fc_64_64
512x256,512,256,fc_64_64,64,64,1,1,1,True,373.413,14,14,0.438844,79.63,233.65,28616276.22846403,4279905842.0714746,114.4299,117.9289,0,0,1.287,7,0,4,1,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/512x256/fc_64_64
1024x256,1024,256,fc_64_64,64,64,1,1,1,True,346.512,14,14,0.438844,85.03,319.48,26798942.444697052,3130086390.3843746,190.2941,127.8957,0,0,1.287,7,0,4,1,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/1024x256/fc_64_64
512x128,512,128,fc_128_128,128,128,1,1,1,True,328.261,10,10,0.2239,168.41,138.59,26520275.453371402,7215527815.85973,68.5113,67.5033,0,0,2.574,8,0,4,1,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/512x128/fc_128_128
256x64,256,64,fc_64_64,64,64,1,1,1,True,323.227,14,14,0.438844,90.44,62.25,25195865.502792906,16064257028.11245,26.6834,34.2773,0,0,1.287,7,0,4,1,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/256x64/fc_64_64
256x256,256,256,fc_64_64,64,64,1,1,1,True,346.512,15,15,0.503775,85.03,217.79,23344856.52960277,4591579044.033243,89.8232,126.6784,0,0,1.287,7,0,4,1,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/256x256/fc_64_64
128x128,128,128,fc_128_128,128,128,1,1,1,True,312.747,11,11,0.270919,176.27,114.13,20940262.984528698,8761938140.716726,41.383,70.1775,0,0,2.574,8,0,4,1,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/128x128/fc_128_128
256x128,256,128,fc_128_128,128,128,1,1,1,True,334.496,12,12,0.322416,165.46,116.6,18745213.63464096,8576329331.046312,48.2063,65.8247,0,0,2.574,8,0,4,1,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/256x128/fc_128_128
128x256,128,256,fc_128_128,128,128,1,1,1,True,312.747,12,12,0.322416,176.27,225.69,17595637.646722034,4430856484.558465,82.7659,140.355,0,0,2.574,8,0,4,1,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/128x256/fc_128_128
128x64,128,64,fc_128_128,128,128,1,2,2,True,310.193,12,12,0.322416,177.64,117.09,17459936.095404714,8540438978.563498,43.5368,70.9819,0,0,2.574,7,0,4,2,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/128x64/fc_128_128
1024x128,1024,128,fc_128_128,128,128,1,1,1,True,349.703,13,13,0.378391,158.7,167.45,16652608.617734622,5971931919.976112,100.7117,64.1685,0,0,2.574,8,0,4,1,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/1024x128/fc_128_128
512x256,512,256,fc_128_128,128,128,1,1,1,True,359.496,14,14,0.438844,154.65,243.93,14734652.93289745,4099536752.346985,118.8597,122.4943,0,0,2.574,8,0,4,1,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/512x256/fc_128_128
1024x256,1024,256,fc_128_128,128,128,1,1,1,True,328.261,14,14,0.438844,168.41,338.45,13530752.782332348,2954646181.119811,200.8743,135.0066,0,0,2.574,8,0,4,1,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/1024x256/fc_128_128
1024x64,1024,64,fc_128_128,128,128,1,2,2,True,291.401,14,14,0.438844,188.45,217.81,12091876.232807593,4591157430.788301,136.3015,78.9369,0,0,2.574,7,0,4,2,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/1024x64/fc_128_128
512x128,512,128,fc_512_128,512,128,1,1,1,True,346.512,10,10,0.2239,382.28,135.24,11683267.733342782,7394262052.647145,64.9028,63.9479,0,0,6.3854999999999995,7,0,4,1,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/512x128/fc_512_128
